date,priceUsd,circulatingSupply
2024-06-12 14:00:00,69393.3102962814725529,19711265.0000000000000000
2024-06-12 15:00:00,69944.8220490082787599,19711278.0000000000000000
2024-06-12 16:00:00,69779.3313857639458554,19711278.0000000000000000
2024-06-12 17:00:00,69633.9500969320086645,19711312.0000000000000000
2024-06-12 18:00:00,69872.1879064198819972,19711312.0000000000000000
2024-06-12 19:00:00,68987.1889520364716127,19711312.0000000000000000
2024-06-12 20:00:00,67565.0979803767880615,19711312.0000000000000000
2024-06-12 21:00:00,68127.9351652910845588,19711346.0000000000000000
2024-06-12 22:00:00,68587.1208573679697011,19711346.0000000000000000
2024-06-12 23:00:00,68364.7539018390484076,19711471.0000000000000000
2024-06-13 00:00:00,68261.7252790771637879,19711471.0000000000000000
2024-06-13 01:00:00,68361.4587425367841636,19711471.0000000000000000
2024-06-13 02:00:00,68026.9835823695663333,19711471.0000000000000000
2024-06-13 03:00:00,67787.0920393474779500,19711525.0000000000000000
2024-06-13 04:00:00,67452.1434405872174295,19711525.0000000000000000
2024-06-13 05:00:00,67394.6407967913458792,19711571.0000000000000000
2024-06-13 06:00:00,67621.4121663537121619,19711571.0000000000000000
2024-06-13 07:00:00,67530.1172621751658218,19711571.0000000000000000
2024-06-13 08:00:00,67714.7938684582100023,19711571.0000000000000000
2024-06-13 09:00:00,67610.8257242027445119,19711606.0000000000000000
2024-06-13 10:00:00,67427.7774178073500633,19711606.0000000000000000
2024-06-13 11:00:00,67784.8627804204067004,19711700.0000000000000000
2024-06-13 12:00:00,67736.2286618426570463,19711700.0000000000000000
2024-06-13 13:00:00,67650.4064440764572630,19711706.0000000000000000
2024-06-13 14:00:00,67616.7027819745295675,19711706.0000000000000000
2024-06-13 15:00:00,67480.6325605344120481,19711775.0000000000000000
2024-06-13 16:00:00,66538.4822806465049565,19711775.0000000000000000
2024-06-13 17:00:00,66939.4405970604423117,19711815.0000000000000000
2024-06-13 18:00:00,66892.2498012356321424,19711815.0000000000000000
2024-06-13 19:00:00,66885.7310636079731590,19711831.0000000000000000
2024-06-13 20:00:00,66666.0027106907267510,19711831.0000000000000000
2024-06-13 21:00:00,66661.3251900032577879,19711843.0000000000000000
2024-06-13 22:00:00,66947.3869443453783157,19711843.0000000000000000
2024-06-13 23:00:00,66892.1577829090270014,19711868.0000000000000000
2024-06-14 00:00:00,66772.2306130024154966,19711868.0000000000000000
2024-06-14 01:00:00,66710.0544826166192077,19711921.0000000000000000
2024-06-14 02:00:00,66758.9732512143471913,19711921.0000000000000000
2024-06-14 03:00:00,66970.0110978761268963,19711931.0000000000000000
2024-06-14 04:00:00,66723.8323892004210260,19711931.0000000000000000
2024-06-14 05:00:00,66718.6559572679392326,19711950.0000000000000000
2024-06-14 06:00:00,67059.3073968544237322,19711950.0000000000000000
2024-06-14 07:00:00,66964.3392361666145274,19711981.0000000000000000
2024-06-14 08:00:00,66961.2179948866225687,19711981.0000000000000000
2024-06-14 09:00:00,67150.2063224695914842,19711993.0000000000000000
2024-06-14 10:00:00,66901.7734175807287176,19711993.0000000000000000
2024-06-14 11:00:00,66829.1816879205754283,19712021.0000000000000000
2024-06-14 12:00:00,67000.5193674295631844,19712021.0000000000000000
2024-06-14 13:00:00,67044.8468626357273226,19712025.0000000000000000
2024-06-14 14:00:00,67111.7757886727519086,19712025.0000000000000000
2024-06-14 15:00:00,66931.3981312987501645,19712053.0000000000000000
2024-06-14 16:00:00,66393.4555594104468038,19712071.0000000000000000
2024-06-14 17:00:00,65339.6352670273109044,19712071.0000000000000000
2024-06-14 18:00:00,65427.9023980010483118,19712118.0000000000000000
2024-06-14 19:00:00,65490.3782643834208662,19712118.0000000000000000
2024-06-14 20:00:00,65515.8454726997845090,19712118.0000000000000000
2024-06-14 21:00:00,65767.2744843381702677,19712118.0000000000000000
2024-06-14 22:00:00,66198.1407874255659716,19712137.0000000000000000
2024-06-14 23:00:00,66072.1267125499877515,19712137.0000000000000000
2024-06-15 00:00:00,66103.7178650914117016,19712165.0000000000000000
2024-06-15 01:00:00,66281.1354423036711515,19712165.0000000000000000
2024-06-15 02:00:00,66138.3761637538332030,19712175.0000000000000000
2024-06-15 03:00:00,66256.7738575494234622,19712175.0000000000000000
2024-06-15 04:00:00,66309.7129195591382611,19712181.0000000000000000
2024-06-15 05:00:00,66288.9347266897697497,19712181.0000000000000000
2024-06-15 06:00:00,66287.0846645803514940,19712234.0000000000000000
2024-06-15 07:00:00,66192.2249419146380483,19712234.0000000000000000
2024-06-15 08:00:00,66099.5651693312984919,19712234.0000000000000000
2024-06-15 09:00:00,66222.2312104806768996,19712234.0000000000000000
2024-06-15 10:00:00,66228.2932343359323228,19712234.0000000000000000
2024-06-15 11:00:00,66343.5995158920633372,19712234.0000000000000000
2024-06-15 12:00:00,66346.1664899057322095,19712268.0000000000000000
2024-06-15 13:00:00,66410.4270220651069147,19712268.0000000000000000
2024-06-15 14:00:00,66325.5789011539389056,19712362.0000000000000000
2024-06-15 15:00:00,66260.3120279591035560,19712362.0000000000000000
2024-06-15 16:00:00,66300.8333236478209257,19712387.0000000000000000
2024-06-15 17:00:00,66209.5697623281371883,19712387.0000000000000000
2024-06-15 18:00:00,66292.3812905656871286,19712412.0000000000000000
2024-06-15 19:00:00,66185.7427352025595820,19712412.0000000000000000
2024-06-15 20:00:00,66195.3639104687948283,19712431.0000000000000000
2024-06-15 21:00:00,66132.5055573455814415,19712431.0000000000000000
2024-06-15 22:00:00,66209.4499030709572302,19712456.0000000000000000
